ID	Value	ModifyType	Param1Min	Param1Max	Param2Min	Param2Max	Group1	Group2	Group3	Group4	Group5	Group6	Group7	Group8	Group9	Group10
0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1		atVitalityBase	3	3												
2		atSpiritBase	3	3												
3		atMaxLifeAdditional	16	16												
4		atStrengthBase	2	2												
5		atSpunkBase	2	2												
6		atMaxManaAdditional	17	17												
7		atSpiritBase	2	2												
8		atStrengthBase	3	3												
9		atSpunkBase	3	3												
10		atAgilityBase	2	2												
11		atVitalityBase	4	4												
12		atSpiritBase	4	4												
13		atLifeReplenishExt	1	1												
14		atVitalityBase	5	5												
15		atStrengthBase	4	4												
16		atSpunkBase	4	4												
17		atMaxLifeAdditional	21	21												
18		atVitalityBase	6	6												
19		atSpiritBase	6	6												
20		atMaxLifeAdditional	26	26												
21		atStrengthBase	5	5												
22		atSpunkBase	5	5												
23		atSpiritBase	5	5												
24		atAgilityBase	3	3												
25		atMaxManaAdditional	31	31												
26		atStrengthBase	6	6												
27		atSpunkBase	6	6												
28		atSpiritBase	7	7												
29		atSpunkBase	7	7												
30		atManaReplenishExt	1	1												
31		atVitalityBase	7	7												
32		atAgilityBase	4	4												
33		atVitalityBase	9	9												
34		atSpiritBase	9	9												
35		atMaxManaAdditional	40	40												
36		atMaxManaAdditional	43	43												
37		atMaxLifeAdditional	39	39												
38		atVitalityBase	11	11												
39		atSpiritBase	10	10												
40		atStrengthBase	8	8												
41		atSpunkBase	8	8												
42		atVitalityBase	8	8												
43		atAgilityBase	5	5												
44		atSpiritBase	11	11												
45		atSpunkBase	9	9												
46		atVitalityBase	12	12												
47		atSpiritBase	7	7												
48		atVitalityBase	10	10												
49		atStrengthBase	9	9												
50		atLifeReplenishExt	2	2												
51		atSpiritBase	8	8												
52		atStrengthBase	7	7												
53		atMaxManaAdditional	54	54												
54		atSpunkBase	10	10												
55		atStrengthBase	10	10												
56		atMaxManaAdditional	57	57												
57		atSpunkBase	11	11												
58		atAgilityBase	6	6												
59		atStrengthBase	11	11												
60		atVitalityBase	15	15												
61		atSpiritBase	14	14												
62		atMaxLifeAdditional	61	61												
63		atSpunkBase	12	12												
64		atSpiritBase	13	13												
65		atStrengthBase	12	12												
66		atManaReplenishExt	2	2												
67		atAgilityBase	7	7												
68		atSpunkBase	13	13												
69		atMaxLifeAdditional	68	68												
70		atStrengthBase	13	13												
71		atLifeReplenishExt	3	3												
72		atSpiritBase	15	15												
73		atStrengthBase	14	14												
74		atSpunkBase	14	14												
75		atMaxManaAdditional	80	80												
76		atMaxLifeAdditional	47	47												
77		atVitalityBase	13	13												
78		atMaxLifeAdditional	79	79												
79		atVitalityBase	16	16												
80		atSpunkBase	15	15												
81		atAgilityBase	8	8												
82		atMagicAttackPowerBase	39	39												
83		atStrengthBase	15	15												
84		atVitalityBase	17	17												
85		atAgilityBase	10	10												
86		atPhysicsAttackPowerBase	22	22												
87		atSpiritBase	18	18												
88		atSpunkBase	17	17												
89		atMaxManaAdditional	89	89												
90		atSpiritBase	16	16												
91		atStrengthBase	33	33												
92		atAgilityBase	22	22												
93		atPhysicsAttackPowerBase	11	11												
94		atPhysicsCriticalStrike	52	52												
95		atSpiritBase	27	27												
96		atAgilityBase	16	16												
97		atVitalityBase	18	18												
98		atManaReplenishExt	3	3												
99		atMagicAttackPowerBase	20	20												
100		atMaxManaAdditional	44	44												
101		atMaxManaAdditional	30	30												
102		atMagicAttackPowerBase	13	13												
103		atVitalityBase	27	27												
104		atVitalityBase	21	21												
105		atSpiritBase	21	21												
106		atSpiritBase	17	17												
107		atStrengthBase	16	16												
108		atSpunkBase	16	16												
109		atMaxLifeAdditional	90	90												
110		atAgilityBase	9	9												
111		atVitalityBase	23	23												
112		atSpiritBase	22	22												
113		atSpunkBase	20	20												
114		atMagicAttackPowerBase	46	46												
115		atStrengthBase	38	38												
116		atAgilityBase	25	25												
117		atPhysicsCriticalStrike	121	121												
118		atVitalityBase	14	14												
119		atMagicAttackPowerBase	23	23												
120		atVitalityBase	31	31												
121		atAgilityBase	19	19												
122		atPhysicsAttackPowerBase	25	25												
123		atMaxManaAdditional	103	103												
124		atSpiritBase	31	31												
125		atManaReplenishExt	4	4												
126		atSpunkBase	25	25												
127		atSpiritBase	26	26												
128		atStrengthBase	48	48												
129		atAgilityBase	32	32												
130		atVitalityBase	24	24												
131		atSpiritBase	23	23												
132		atStrengthBase	18	18												
133		atSpiritBase	20	20												
134		atAgilityBase	12	12												
135		atPhysicsAttackPowerBase	13	13												
136		atPhysicsCriticalStrike	60	60												
137		atMaxManaAdditional	52	52												
138		atVitalityBase	19	19												
139		atSpiritBase	19	19												
140		atStrengthBase	24	24												
141		atPhysicsCriticalStrike	77	77												
142		atVitalityBase	20	20												
143		atMaxManaAdditional	109	109												
144		atSpiritBase	41	41												
145		atVitalityBase	26	26												
146		atSpiritBase	25	25												
147		atStrengthBase	17	17												
148		atStrengthBase	19	19												
149		atAgilityBase	13	13												
150		atPhysicsCriticalStrike	128	128												
151		atSpiritBase	28	28												
152		atSpunkBase	27	27												
153		atVitalityBase	30	30												
154		atSpunkBase	28	28												
155		atPhysicsCriticalStrike	134	134												
156		atSpunkBase	18	18												
157		atStrengthBase	28	28												
158		atVitalityBase	32	32												
159		atStrengthBase	42	42												
160		atAgilityBase	28	28												
161		atPhysicsCriticalStrike	41	41												
162		atPhysicsAttackPowerBase	9	9												
163		atMagicAttackPowerBase	16	16												
164		atSpunkBase	23	23												
165		atStrengthBase	23	23												
166		atPhysicsCriticalStrike	138	138												
167		atMaxManaAdditional	59	59												
168		atPhysicsCriticalStrike	69	69												
169		atPhysicsAttackPowerBase	14	14												
170		atVitalityBase	22	22												
171		atMagicAttackPowerBase	52	52												
172		atStrengthBase	21	21												
173		atAgilityBase	14	14												
174		atPhysicsAttackPowerBase	29	29												
175		atSpunkBase	19	19												
176		atStrengthBase	30	30												
177		atVitalityBase	33	33												
178		atVitalityBase	28	28												
179		atSpiritBase	45	45												
180		atMaxManaAdditional	120	120												
181		atStrengthBase	26	26												
182		atVitalityBase	29	29												
183		atAgilityBase	18	18												
184		atStrengthBase	44	44												
185		atAgilityBase	30	30												
186		atPhysicsCriticalStrike	141	141												
187		atSpunkBase	30	30												
188		atStrengthBase	31	31												
189		atVitalityBase	35	35												
190		atSpiritBase	47	47												
191		atAgilityBase	29	29												
192		atStrengthBase	58	58												
193		atAgilityBase	39	39												
194		atVitalityBase	38	38												
195		atAgilityBase	23	23												
196		atPhysicsCriticalStrike	148	148												
197		atSpiritBase	29	29												
198		atSpiritBase	30	30												
199		atMaxManaAdditional	79	79												
200		atSpiritBase	34	34												
201		atSpunkBase	32	32												
202		atStrengthBase	27	27												
203		atPhysicsCriticalStrike	155	155												
204		atSpiritBase	36	36												
205		atVitalityBase	34	34												
206		atSpunkBase	26	26												
207		atMagicAttackPowerBase	19	19												
208		atPhysicsAttackPowerBase	16	16												
209		atMagicAttackPowerBase	29	29												
210		atSpiritBase	40	40												
211		atAgilityBase	24	24												
212		atVitalityBase	25	25												
213		atSpiritBase	24	24												
214		atMaxManaAdditional	66	66												
215		atMagicAttackPowerBase	37	37												
216		atMagicAttackPowerBase	61	61												
217		atStrengthBase	35	35												
218		atSpiritBase	37	37												
219		atSpunkBase	21	21												
220		atSpiritBase	52	52												
221		atSpiritBase	35	35												
222		atSpunkBase	34	34												
223		atPhysicsCriticalStrike	161	161												
224		atSpiritBase	32	32												
225		atPhysicsAttackPowerBase	35	35												
226		atVitalityBase	54	54												
227		atSpunkBase	35	35												
228		atStrengthBase	29	29												
229		atPhysicsCriticalStrike	168	168												
230		atStrengthBase	66	66												
231		atAgilityBase	44	44												
232		atVitalityBase	37	37												
233		atTherapyPowerBase	78	78												
234		atMaxLifeAdditional	40	40												
235		atMagicAttackPowerBase	32	32												
236		atSpunkBase	29	29												
237		atTherapyPowerBase	129	129												
238		atAgilityBase	17	17												
239		atPhysicsCriticalStrike	171	171												
240		atMaxManaAdditional	146	146												
241		atPhysicsShieldBase	424	424												
242		atManaReplenishExt	5	5												
243		atStrengthBase	54	54												
244		atAgilityBase	36	36												
245		atSpiritBase	44	44												
246		atAgilityBase	27	27												
247		atLifeReplenishExt	5	5												
248		atSpunkBase	22	22												
249		atSpiritBase	38	38												
250		atSpunkBase	37	37												
251		atStrengthBase	37	37												
252		atVitalityBase	41	41												
253		atStrengthBase	69	69												
254		atAgilityBase	46	46												
255		atPhysicsAttackPowerBase	23	23												
256		atMaxManaAdditional	93	93												
257		atMaxManaAdditional	155	155												
258		atVitalityBase	43	43												
259		atVitalityBase	40	40												
260		atVitalityBase	36	36												
261		atStrengthBase	34	34												
262		atSpunkBase	24	24												
263		atVitalityBase	42	42												
264		atSpunkBase	39	39												
265		atStrengthBase	40	40												
266		atStrengthBase	36	36												
267		atStrengthBase	59	59												
268		atAgilityBase	40	40												
269		atPhysicsAttackPowerBase	39	39												
270		atSpunkBase	31	31												
271		atPhysicsAttackPowerBase	12	12												
272		atPhysicsCriticalStrike	56	56												
273		atTherapyPowerBase	85	85												
274		atDodge	33	33												
275		atMaxManaAdditional	48	48												
276		atSpiritBase	33	33												
277		atMagicAttackPowerBase	36	36												
278		atTherapyPowerBase	142	142												
279		atStrengthBase	20	20												
280		atPhysicsAttackPowerBase	20	20												
281		atPhysicsCriticalStrike	94	94												
282		atMaxLifeAdditional	74	74												
283		atMagicAttackPowerBase	24	24												
284		atVitalityBase	48	48												
285		atMaxLifeAdditional	49	49												
286		atDodge	37	37												
287		atMagicAttackPowerBase	74	74												
288		atSpunkBase	33	33												
289		atAgilityBase	21	21												
290		atSpiritBase	43	43												
291		atSpunkBase	41	41												
292		atPhysicsCriticalStrike	195	195												
293		atPhysicsAttackPowerBase	41	41												
294		atManaReplenishExt	6	6												
295		atStrengthBase	25	25												
296		atStrengthBase	22	22												
297		atPhysicsCriticalStrike	202	202												
298		atSpiritBase	39	39												
299		atStrengthBase	64	64												
300		atAgilityBase	43	43												
301		atSpunkBase	42	42												
302		atPhysicsAttackPowerBase	42	42												
303		atSpiritBase	65	65												
304		atVitalityBase	45	45												
305		atPhysicsCriticalStrike	123	123												
306		atTherapyPowerBase	93	93												
307		atDodge	36	36												
308		atMaxLifeAdditional	48	48												
309		atTherapyPowerBase	155	155												
310		atVitalityBase	53	53												
311		atPhysicsCriticalStrike	205	205												
312		atPhysicsShieldBase	507	507												
313		atPhysicsAttackPowerBase	43	43												
314		atMagicAttackPowerBase	77	77												
315		atVitalityBase	39	39												
316		atPhysicsAttackPowerBase	21	21												
317		atPhysicsCriticalStrike	103	103												
318		atDodge	121	121												
319		atMaxManaAdditional	175	175												
320		atSpunkBase	44	44												
321		atStrengthBase	39	39												
322		atAgilityBase	26	26												
323		atPhysicsAttackPowerBase	44	44												
324		atMaxManaAdditional	110	110												
325		atSpunkBase	45	45												
326		atStrengthBase	46	46												
327		atSpiritBase	50	50												
328		atStrengthBase	85	85												
329		atAgilityBase	57	57												
330		atNeutralCriticalStrike	80	80												
331		atTherapyPowerBase	30	30												
332		atPhysicsCriticalStrike	80	80												
333		atMaxManaAdditional	34	34												
334		atSolarCriticalStrike	40	40												
335		atSolarAttackPowerBase	15	15												
336		atPhysicsAttackPowerBase	17	17												
337		atPhysicsShieldBase	199	199												
338		atNeutralAttackPowerBase	30	30												
339		atMaxLifeAdditional	38	38												
340		atMaxManaAdditional	76	76												
341		atNeutralHitValue	137	137												
342		atMaxManaAdditional	63	63												
343		atMagicAttackPowerBase	28	28												
344		atNeutralCriticalStrike	74	74												
345		atNeutralAttackPowerBase	28	28												
346		atTherapyPowerBase	122	122												
347		atMaxLifeAdditional	127	127												
348		atMagicAttackPowerBase	30	30												
349		atMaxManaAdditional	72	72												
350		atPhysicsCriticalStrike	84	84												
351		atPhysicsAttackPowerBase	18	18												
352		atTherapyPowerBase	152	152												
353		atVitalityBase	52	52												
354		atAgilityBase	31	31												
355		atDodge	119	119												
356		atPhysicsCriticalStrike	101	101												
