ID	Name	UiID	RepresentID	ColorID	ColorID1	ColorID2	Genre	SubType	DetailType	Price	Level	BindType	MaxDurability	AbradeRate	MaxExistTime	MaxExistAmount	CanTrade	CanDestroy	SetID	ScriptName	Quality	Base1Type	Base1Min	Base1Max	Base2Type	Base2Min	Base2Max	Base3Type	Base3Min	Base3Max	Base4Type	Base4Min	Base4Max	Base5Type	Base5Min	Base5Max	Base6Type	Base6Min	Base6Max	Require1Type	Require1Value	Require2Type	Require2Value	Require3Type	Require3Value	Require4Type	Require4Value	Require5Type	Require5Value	Require6Type	Require6Value	Magic1Type	Magic2Type	Magic3Type	Magic4Type	Magic5Type	Magic6Type	Magic7Type	Magic8Type	Magic9Type	Magic10Type	Magic11Type	Magic12Type	Magic13Type	Magic14Type	Magic15Type	Magic16Type	SkillID	SkillLevel	BelongSchool	MagicKind	MagicType	GetType	_CATEGORY	CoolDownID	IconTag1	IconTag2	IsSpecialIcon	IsSpecialRepresent	IconID	CanSetColor	AucGenre	AucSubType	RequireCamp	RequireProfessionID	RequireProfessionLevel	RequireProfessionBranch	PackageGenerType	PackageSubType	TargetType	EnchantRepresentID1	EnchantRepresentID2	EnchantRepresentID3	EnchantRepresentID4	ExistType	EquipCoolDownID	RecommendID	DiamondTypeMask1	DiamondAttributeID1	DiamondTypeMask2	DiamondAttributeID2	DiamondTypeMask3	DiamondAttributeID3	MaxStrengthLevel	CanApart	IgnoreBindMask	CanExterior	BelongForceMask	MapBanUseItemMask	Represent1	SpecialRepair	CanChangeMagic	GrowthTabIndex	NeedGrowthExp	CanShared	MapBanTradeItemMask	MapCanExistItemMask	MapBanEquipItemMask	EquipUsage	RepairPriceRebate	AucMountRecommendMask	BelongSchoolMask
0	无效定制饰物	2543	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	——	通用	基础	未知	其他	0			0	0	0	1	0	0	7	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		67108863	0		0	1	0	0	0	6	0	2	1			8388607
18	粗布腰包	2547		0			0	12	0	12		1	6	0			1	1			1	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1			
19	棉布包	2548		0			0	12	0	90		1	8	0			1	1			1	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1			
20	丝绸皮包	2549		0			0	12	0	300		1	10	0			1	1			1	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1			
21	彩锦皮包	2550		0			0	12	0	1600		2	12	0			1	1			2	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1			
22	绫罗草药包	2551		0			0	12	2	12000		2	18	0			1	1			2	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7				3	2							736	0	0	0	0	0	0	0		0	0		67108863				0							1			
23	绫罗金石包	2552		0			0	12	1	12000		2	18	0			1	1			2	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7				3	1							736	0	0	0	0	0	0	0		0	0		67108863				0							1			
24	绫罗皮包	2553		0			0	12	0	3000		2	14	0			1	1			2	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1			
25	轻容纱草药包	2554		0			0	12	2	20000		2	20	0			1	1			2	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7				3	2							736	0	0	0	0	0	0	0		0	0		67108863				0							1			
26	轻容纱金石包	2555		0			0	12	1	20000		2	20	0			1	1			2	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7				3	1							736	0	0	0	0	0	0	0		0	0		67108863				0							1			
27	红木笈	2556		0			0	12	4	39200		2	22	0			1	1			3	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7				4	-1							736	0	0	0	0	0	0	0		0	0		67108863				0							1			
28	轻容百花包	3086		0			0	12	0	8400		2	16	0							3	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1			
29	轻容书袋	3087		0			0	12	4	28000		2	20	0							3	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7				4	-1							736	0	0	0	0	0	0	0		0	0		67108863				0							1			
