ID	Name	UiID	RepresentDec	RepresentID	ColorID	ColorID1	ColorID2	Genre	SubType	DetailType	Price	Level	BindType	MaxDurability	AbradeRate	MaxExistTime	MaxExistAmount	CanTrade	CanDestroy	SetID	ScriptName	Quality	Base1Type	Base1Min	Base1Max	Base2Type	Base2Min	Base2Max	Base3Type	Base3Min	Base3Max	Base4Type	Base4Min	Base4Max	Base5Type	Base5Min	Base5Max	Base6Type	Base6Min	Base6Max	Require1Type	Require1Value	Require2Type	Require2Value	Require3Type	Require3Value	Require4Type	Require4Value	Require5Type	Require5Value	Require6Type	Require6Value	Magic1Type	Magic2Type	Magic3Type	Magic4Type	Magic5Type	Magic6Type	Magic7Type	Magic8Type	Magic9Type	Magic10Type	Magic11Type	Magic12Type	Magic13Type	Magic14Type	Magic15Type	Magic16Type	SkillID	SkillLevel	BelongSchool	MagicKind	MagicType	GetType	_CATEGORY	CoolDownID	IconTag1	IconTag2	IsSpecialIcon	IsSpecialRepresent	CanSetColor	AucGenre	AucSubType	RequireCamp	RequireProfessionID	RequireProfessionLevel	RequireProfessionBranch	PackageGenerType	PackageSubType	TargetType	EnchantRepresentID1	EnchantRepresentID2	EnchantRepresentID3	EnchantRepresentID4	ExistType	DiamondTypeMask1	DiamondAttributeID1	DiamondTypeMask2	DiamondAttributeID2	DiamondTypeMask3	DiamondAttributeID3	EquipCoolDownID	RecommendID	MaxStrengthLevel	CanApart	MapBanUseItemMask	IgnoreBindMask	CanExterior	BelongForceMask	Represent1	SpecialRepair	CanChangeMagic	GrowthTabIndex	NeedGrowthExp	CanShared	MapBanTradeItemMask	MapCanExistItemMask	MapBanEquipItemMask	EquipUsage	BelongMap	_IsSpecialMagicType	RepairPriceRebate	AucMountRecommendMask	BelongSchoolMask
0	无效定制武器	1867	无	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	——	通用	基础	未知	其他	0	无	无	0	0	1	0	0	7	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0		67108863		0	1	0	0	0	6	0	2	1				0	8388607
1	金箍棒	13297		11	0			0	0	0	0	11	3	200	0							3	atMeleeWeaponDamageBase	10000	10000	atMeleeWeaponDamageRand	10000	10000	atMeleeWeaponAttackSpeedBase	27	27										5	1																													——	——	——	任务道具					1	1		1	1	7																					0							0							1			1		
100	石子	10025	　	0	0			0	13	6	0	2	3	200	0			1		0		1	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid	0	0										0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务道具			石子					2	4	7																			1	0	0							0							1			1		
101	小石子	10026	　	0	0			0	13	6	0	2	1	200	0		0	1		0		1	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	商店					1			2	4	7																		735		0	0		0	0	67108863		0	0							1			1		
102	大石子	10027	　	0	0			0	13	6	0	3	1	200	0		0	1		0		1	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	商店								2	4	7																		735		0	0		0	0	67108863		0	0							1			1		
103	光滑的弹丸	10028	　	0	0			0	13	6	0	5	3	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
104	小弹丸	10029	　	0	0			0	13	6	0	6	1	200	0		0	1		0		1	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	商店					1			2	4	7																		735		0	0		0	0	67108863		0	0							1			1		
105	丝帛弹囊	10030	　	0	0			0	13	6	0	6	3	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务			暗器袋、暗器囊					2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
106	寒刺	10031	　	0	0			0	13	6	0	6	3	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
107	碎玉	10032	　	0	0			0	13	6	0	6	3	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
108	金翎刺	10033	　	0	0			0	13	6	0	6	3	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务				金				2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
109	绣银针	10034	　	0	0			0	13	6	0	6	3	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务			钉子	银				2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
110	大弹丸	10035	　	0	0			0	13	6	0	7	1	200	0		0	1		0		1	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	商店					1			2	4	7																		735		0	0		0	0	67108863		0	0							1			1		
111	飞雨	10036	　	0	0			0	13	6	0	8	3	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
112	千机子	10037	　	0	0			0	13	6	0	8	3	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
113	汗垢丸	10038	　	0	0			0	13	6	0	8	3	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
114	飞马钉	10039	　	0	0			0	13	6	0	8	3	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
115	碎星弹	10040	　	0	0			0	13	6	0	8	3	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
116	飞刀	10041	　	0	0			0	13	6	0	8	1	200	0		0	1		0		1	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	商店					1			2	4	7																		735		0	0		0	0	67108863		0	0							1			1		
117	锋利袖箭	10042	　	0	0			0	13	6	0	10	3	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务			小箭					2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
118	飞刀·菊残	10043	　	0	0			0	13	6	0	10	2	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							通用	身法	基础	掉落			飞刀					2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
119	柳叶刀	10044	　	0	0			0	13	6	0	10	2	200	0		0	1		0		3	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							通用	力道	基础	掉落			飞刀					2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
120	天机钉	10045	　	0	0			0	13	6	0	10	2	200	0		0	1		0		3	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							通用	元气	基础	掉落			钉子					2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
121	飞骨刀	10046	　	0	0			0	13	6	0	10	1	200	0		0	1		0		1	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	商店					1			2	4	7																		735		0	0		0	0	67108863		0	0							1			1		
122	飞刀·菊残	10047	　	0	0			0	13	6	0	11	2	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	通用	基础	掉落			飞刀					2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
123	连百镖	10048	　	0	0			0	13	6	0	10	3	200	0		0	1		0		4	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	历程副本			飞镖					2	4	7																		735		6	0		4	0	67108863		0	1			0				1	万花25级		1		
124	脱手镖·千红	10049	　	0	0			0	13	6	0	11	2	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							通用	根骨	基础	掉落			飞镖					2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
125	飞刀·菊残	10050	　	0	0			0	13	6	0	12	2	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							通用	力道	伤害	掉落			飞刀					2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
126	削发飞刀	10051	　	0	0			0	13	6	0	12	3	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务			飞刀					2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
127	脱手镖·千红	10052	　	0	0			0	13	6	0	12	2	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							通用	元气	伤害	掉落			飞镖					2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
128	石骨钉	10053	　	0	0			0	13	6	0	13	3	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务			钉子					2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
129	绝手镖·金笼	10054	　	0	0			0	13	6	0	13	2	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							通用	根骨	基础	掉落			飞镖	金				2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
130	穿云箭	10055	　	0	0			0	13	6	0	13	2	200	0		0	1		0		3	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							通用	身法	基础	掉落			小箭					2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
131	红杏刀	10056	　	0	0			0	13	6	0	13	2	200	0		0	1		0		3	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							通用	根骨	基础	掉落			飞刀					2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
132	青峰钉	10057	　	0	0			0	13	6	0	13	2	200	0		0	1		0		4	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							通用	力道	伤害	掉落			钉子					2	4	7																		735		2	0		0	0	67108863		0	0							1			1		
133	碎月刀	10058	　	0	0			0	13	6	0	13	2	200	0		0	1		0		4	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							通用	元气	伤害	掉落			飞刀					2	4	7																		735		2	0		0	0	67108863		0	0							1			1		
134	飞镖	10059	　	0	0			0	13	6	0	13	1	200	0		0	1		0		1	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	商店					1			2	4	7																		735		0	0		0	0	67108863		0	0							1			1		
135	绝手镖·金笼	10060	　	0	0			0	13	6	0	14	2	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							通用	身法	基础	掉落			飞镖	金				2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
