ID	Name	UIID	AttriName	Attribute1ID	Attribute1Value1	Attribute1Value2	Score	DiamondType1	Compare1	DiamondCount1	DiamondIntensity1	Attribute2ID	Attribute2Value1	Attribute2Value2	DiamondType2	Compare2	DiamondCount2	DiamondIntensity2	Attribute3ID	Attribute3Value1	Attribute3Value2	DiamondType3	Compare3	DiamondCount3	DiamondIntensity3	ScriptName	Attribute4ID	Attribute4Value1	Attribute4Value2	RepresentIndex	RepresentID	Time	DestItemSubType	TabType	TabIndex	PackageSize	MapInvalidMask	BelongKungfuID
1	鹅黄绣（护手）		元气永久提升4点（护手）	atSpunkBase	4	4	15																							-1			10				0	0
2	鹅黄染（腰带）		元气永久提升4点（腰带）	atSpunkBase	4	4	15																							7	10		6				0	0
3	鹅黄绣（头部）		力道永久提升4点（头部）	atStrengthBase	4	4	15																										3				0	0
4	鹅黄染（下装）		力道永久提升4点（下装）	atStrengthBase	4	4	15																										8				0	0
5	杏黄绣（护手）		元气永久提升4点（护手）	atSpunkBase	4	4	15																										10				0	0
6	杏黄染（腰带）		元气永久提升4点（腰带）	atSpunkBase	4	4	15																										6				0	0
7	墨灰染（鞋子）		生命上限永久提升50（鞋子）	atMaxLifeBase	81	81	8																										9				0	0
8	妃红绣（护手）		体质永久提升4点（护手）	atVitalityBase	5	5	7																										10				0	0
9	妃红染（腰带）		体质永久提升5点（腰带）	atVitalityBase	5	5	8																										6				0	0
10	妃红染（下装）		根骨永久提升4点（下装）	atSpiritBase	4	4	15																										8				0	0
11	橘红绣（护手）		体质永久提升5点（护手）	atVitalityBase	5	5	8																										10				0	0
12	橘红染（腰带）		体质永久提升5点（腰带）	atVitalityBase	5	5	8																										6				0	0
13	煤黑绣（护手）		身法永久提升4点（护手）	atAgilityBase	4	4	15																										10				0	0
14	煤黑染（腰带）		身法永久提升4点（腰带）	atAgilityBase	4	4	15																										6				0	0
15	煤黑绣（头部）		根骨永久提升4点（头部）	atSpiritBase	4	4	15																										3				0	0
16	铁黑绣（护手）		身法永久提升4点（护手）	atAgilityBase	4	4	15																										10				0	0
17	铁黑染（腰带）		身法永久提升4点（腰带）	atAgilityBase	4	4	15																										6				0	0
18	净白绣（护手）		根骨永久提升4点（护手）	atSpiritBase	4	4	15																										10				0	0
19	净白染（腰带）		根骨永久提升4点（腰带）	atSpiritBase	4	4	15																										6				0	0
20	净白绣（头部）		体质永久提升5点（头部）	atVitalityBase	5	5	8																										3				0	0
21	净白染（下装）		体质永久提升5点（下装）	atVitalityBase	5	5	8																										8				0	0
22	莹白绣（护手）		力道永久提升4点（护手）	atStrengthBase	4	4	15																										10				0	0
23	莹白染（腰带）		力道永久提升4点（腰带）	atStrengthBase	4	4	15																										6				0	0
24	墨灰绣（鞋子）		生命上限永久提升50点（鞋子）	atMaxLifeBase	50	50	8																										9				0	0
25	蓝叶绣（护手）		力道永久提升4点（护手）	atStrengthBase	4	4	15																										10				0	0
26	蓝叶染（腰带）		力道永久提升4点（腰带）	atStrengthBase	4	4	15																										6				0	0
27	靛蓝绣（护手）		根骨永久提升4点（护手）	atSpiritBase	4	4	15																										10				0	0
28	靛蓝染（腰带）		根骨永久提升4点（腰带）	atSpiritBase	4	4	15																										6				0	0
