ID	Name	_CATEGORY	UiID	Genre	SubType	DetailType	Quality	Price	BindType	MaxExistTime	MaxExistAmount	MaxDurability	CanStack	CanConsume	CanTrade	CanDestroy	ScriptName	SkillID	SkillLevel	_LEVEL	CoolDownID	RequireLevel	RequireProfessionID	RequireProfessionBranch	RequireProfessionLevel	RequireGender	CanUseOnHorse	CanUseInFight	CanGoodCampUse	CanEvilCampUse	CanNeutralCampUse	AucGenre	AucSubType	RequireForce	RequireCamp	TargetType	Prefix	Postfix	EnchantID	BoxID	ExistType	MapBanUseItemMask	IgnoreBindMask	BelongForceMask	CanShared	MapBanTradeItemMask	MapCanExistItemMask	BelongSchoolMask
0	默认	默认分类	0	3	0	0	0	0	1	0	0	1	1	0	1	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	20	2	0	7	0			0	0	0	39	0	67108863	0	6	0	0
2	纸盒子	测试用	1733	3	0	0	0	0		0	0	1	0	0	1	1		0	0	0												99																
3	默认	默认分类	0	3	0	0	0	0	1	0	0	1	1	0	1	1		0	0	0	0		0	0	0	0	0	0	1	1	1	99																
4	默认	默认分类	0	3	0	0	0	0	1	0	0	1	1	0	1	1		0	0	0	0		0	0	0	0	0	0	1	1	1	99																
5	默认	默认分类	0	3	0	0	0	0	1	0	0	1	1	0	1	1		0	0	0	0		0	0	0	0	0	0	1	1	1	99																
6	战鼓	万花	2756	2	0	0	1	0	3	0	1	1	0	0	0	1	scripts\Map\万花\item\战鼓.lua	0	0	0																												
7	捕蛇工具	扬州	2965	2	0	0	2	0	3	0	1	1	0	0	0	1	scripts\Map\扬州\item\捕蛇道具.lua	0	0	0																												
8	战旗	昆仑	14537	2	0	0	1	0	3	0	1	1	1	0	0	1	scripts\Map\昆仑\item\战旗.lua	0	0	0	0		0	0	0	0	0	0	1	1	1																	
10	如来神掌	扬州	2966	3	0	0	6	0	1	0	1	1	1	0	0	1		0	0	0																												
11	降龙十九掌	扬州	2967	3	0	0	6	0	1	0	1	1	1	0	0	1		0	0	0																												
12	睡梦罗汉腿	扬州	2968	3	0	0	6	0	1	0	1	1	1	0	0	1		0	0	0																												
13	九阴真经	扬州	2969	3	0	0	0	0	1	0	1	1	1	0	0	1		0	0	0												99																
14	独孤九鞭	扬州	2970	3	0	0	6	0	1	0	1	1	1	0	0	1		0	0	0																												
15	无敌风火轮	扬州	2971	3	0	0	6	0	1	0	1	1	1	0	0	1		0	0	0																												
16	铁蒺藜	新手村	2972	3	0	0	2	1	3	0	100	100	1	1	1	1		5	1	0																												
17	石灰粉	新手村	2973	3	0	0	2	1	3	0	100	100	1	1	1	1		6	1	0																												
18	玉真茶	纯阳	3011	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																												
19	李元济手书	纯阳	3012	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																												
20	一缸鱼油	昆仑	14538	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1																	
21	圣火炬	洛道	3082	2	0	0	1	0	3	0	0	20	1	1	0	1		0	0	0																												
22	圣火炬	洛道	3083	2	0	0	1	0	3	0	0	20	1	1	0	1		0	0	0																												
23	小罐鱼油	昆仑	14539	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1																	
24	火种	昆仑	14540	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1																	
25	冰块	昆仑	14541	2	0	0	1	0	3	0	8	8	1	1	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1																	
