nNounID	szName	szDesc	szRGB
0			
1	归平野	立刻对目标造成一次伤害，一段时间内可操作自身释放一次强化的平射。	
2	聚长川	将自身15尺范围内目标拉到身边，一段时间内可操作自身释放强化的散射。<TALENT 35762 1 释放“聚长川”会使下一次“归平野”伤害提高80%>	
3	汇山岚	眩晕8尺范围的目标4秒，并造成伤害，一段时间内可操作自身释放“没石饮羽”。<TALENT 35730 1 “汇山岚”不再造成眩晕而是恐惧><TALENT 35762 1  调息时间降低6秒。释放“聚长川”、“汇山岚”会使下一次“归平野”伤害提高80%><TALENT 35735 1 施展“汇山岚”后玩家的追击范围会增大，最外圈2尺会造成内圈1.5倍的伤害>	
4	伪装	自身不会被敌方察觉，期间自身移动速度提高40%并持续获得<BUFF_NOUN 4468 1 超然>。结束后清除自身所有移动限制(击退和被拉除外)。\n主动施展伤害、控制类招式或被击退、拉拽时会立即结束该效果。	
5	微醺	基础调息时间降低至0.5秒，施展“降龙掌”“打狗棒法”套路招式目标和自身均会出现僵直状态。	
6	逍遥状态	自身基础调息时间降低至0.5秒，施展“打狗棒法”和“降龙掌法”套路下的招式时，自身和目标均会出现僵直效果。	
7	沉醉	沉默，受到的伤害提高20%。	
8	醉意	可通过施展招式“酒中仙”获得，达到3点后可以施展“醉逍遥”。	
9	昊破	招式威胁值降低50%，提高自身15%外功基础攻击力，20%外功会心几率，20%外功会心效果。	
10	荡扬	被“龙跃于渊”命中时将直接获得满层“灼烧”。	255;0;0
11	灼烧	每3秒对目标造成一次外功伤害，受到“御鸿于天”强化后将每2秒对目标造成一次外功伤害，可叠加3层。	255;0;0
12	翻江	受到的治疗成效降低60%，该效果时间可以累加。	255;0;0
13	无质	排除单次会心的随机判定影响，根据会心率和会心效果造成稳定的期望伤害或治疗。	
14	逐鹿	每层“逐鹿"使“项王击鼎”三段触发的持续群体伤害持续时间增加0.5秒，“项王击鼎”第三段持续效果最多持续6.5秒。	
15	特殊控制	平沙落雁、守拙、归园、恐惧、雾暗迷云、鸿蒙天禁、扬旌沙场、鳞粉	
16	余声	“松烟竹雾”体态下的招式造成的直接伤害提高50%，命中后消除1层并获得2层“逐鹿”，持续15秒。	
17	御劲统一	提高自身在击破破绽时造成的伤害。	
18	乘龙戏水	每层使自身受到的伤害降低60%。	
19	落水打狗	“灼烧”效果每跳造成伤害时会额外触发一段外功伤害并消耗一层“落水打狗”效果。	255;0;0
20	泽靡	毒经攻击带有自身“泽靡”效果的目标时会额外造成一次毒性内功伤害，层数越多伤害越高。没有“泽靡”效果的玩家连续受到3次“大荒泽域”伤害时，会将“大荒泽域”转移至自身，并附带两层“泽靡”效果，原目标的“泽靡”被清空。	255;0;0
21	小荒泽域	每秒对目标6尺内最多5个敌方玩家目标造成一次毒性内功伤害。	255;0;0
22	寒蕊	施展伤害招式附带一段“飘黄”伤害，每秒可触发1次，最多触发12次。每层“寒蕊”气劲使“飘黄”伤害提高100%，无双值提高163点。	
23	奇境·叠刃	持续9秒，每3秒对目标造成一次外功伤害，最多叠加6层。	255;0;0
24	少林	\n洗髓经：普渡四方，韦陀献杵，横扫六合，舍身诀，锻骨诀，大狮子吼，抢珠式，千斤坠。\n易筋经：普渡四方，韦陀献杵，守缺式，舍身诀，锻骨诀，大狮子吼，抢珠式，捉影式。	
25	万花	\n花间游：阳明指，商阳指，玉石俱焚，芙蓉并蒂，乱洒青荷，春泥护花，星楼月影，快雪时晴。\n离经易道：提针，握针，听风吹雪，清风垂露，长针，春泥护花，星楼月影，碧水滔天。	
26	天策	\n傲血战意：断魂刺，破坚阵，龙牙，龙吟，疾如风，任驰骋，破重围，骑御。\n铁牢律：穿云，龙牙，龙吟，任驰骋，突，疾如风，沧月，疾。	
27	纯阳	\n紫霞功：四象轮回，两仪化形，八卦洞玄，三才化生，七星拱瑞，镇山河，紫气东来，九转归一。\n太虚剑意：剑冲阴阳，无我无剑，剑飞惊天，吞日月，大道无术，八荒归元，紫气东来，万剑归宗。	
28	七秀	\n云裳心经：王母挥袂，风袖低昂，上元点鬟，雷霆震怒，繁音急节，鹊踏枝，月移花影，回雪飘摇。\n冰心诀：剑破虚空，剑心通明，江海凝光，玳弦急曲，繁音急节，鹊踏枝，梦鲤拂波，剑影留痕。	
29	五毒	\n毒经：蛇影，蟾啸，百足，灵蛇引，蛊虫献祭，幻蛊，灵蛊，千丝。\n补天诀：冰蚕牵丝，圣手织天，千蝶吐瑞，灵蛇引，蛊虫献祭，蝎心，灵蛊，蛊惑众生。	
