ID	RewardPoint
1	20
2	20
3	20
4	25
5	25
6	30
7	30
8	15
9	15
10	15
11	15
12	15
13	15
14	15
15	20
16	20
17	25
18	25
19	30
20	35
21	40
22	15
23	15
24	15
26	15
27	15
28	15
29	20
30	25
31	25
32	25
33	30
35	25
36	25
37	25
38	25
41	25
42	25
43	25
44	25
46	25
47	25
48	25
49	25
50	25
51	25
53	25
54	25
55	25
56	25
62	25
63	25
65	25
66	25
67	25
68	35
69	35
70	35
71	35
72	35
73	20
74	25
75	20
76	20
77	20
78	20
79	20
80	20
81	20
82	20
83	20
84	20
85	20
86	25
87	25
88	25
89	25
90	30
91	30
99	25
100	30
101	30
102	35
103	40
104	15
128	25
129	30
130	35
131	20
132	25
133	15
135	15
136	30
137	15
138	15
139	15
140	15
141	15
142	25
143	30
144	25
146	25
147	15
148	15
151	25
152	40
153	20
154	40
155	40
156	25
157	20
158	15
159	25
160	20
161	15
162	20
163	20
164	25
165	15
166	15
167	15
168	15
169	40
170	20
171	20
172	25
173	30
174	25
175	40
176	25
177	30
178	40
179	20
180	20
181	15
182	25
183	35
185	20
186	25
187	25
189	25
190	25
191	20
192	25
193	25
194	25
195	35
203	25
207	25
208	25
209	25
211	25
212	20
213	25
214	30
215	25
216	45
217	30
218	15
219	15
220	15
221	15
222	15
223	15
224	15
225	40
226	25
227	25
228	25
229	25
230	25
231	25
232	25
234	25
235	25
236	25
237	25
238	25
239	25
240	25
242	15
243	20
244	20
245	25
246	30
247	15
248	20
249	20
250	25
251	30
252	15
253	20
254	20
255	20
256	25
257	30
258	15
259	20
260	20
261	20
262	25
263	30
264	30
265	30
266	30
267	15
268	20
269	20
270	20
271	20
272	25
273	30
274	30
275	30
276	15
277	20
278	20
279	20
280	25
293	30
300	35
302	45
303	35
304	35
305	35
306	35
307	25
308	25
309	25
310	25
311	25
312	30
313	25
314	25
315	25
316	25
317	25
318	30
320	20
321	20
323	20
325	25
326	20
327	25
328	20
329	25
330	25
331	25
332	20
333	20
334	20
335	25
336	25
337	25
338	25
339	25
340	25
341	25
342	25
343	25
344	25
345	25
346	20
347	20
348	20
349	20
350	20
351	20
352	20
353	20
354	20
355	20
356	20
357	20
358	20
359	20
360	20
361	20
362	25
363	25
364	25
365	25
366	45
367	25
368	25
369	35
370	45
371	20
372	25
373	35
374	35
375	20
376	25
377	25
378	25
379	25
380	25
381	35
382	20
383	20
384	20
385	35
386	25
387	25
388	25
389	25
390	30
391	30
392	30
393	30
394	20
395	25
396	30
397	25
398	25
399	35
400	15
401	15
402	15
403	15
404	15
405	25
406	30
408	20
409	15
410	20
411	20
412	20
413	20
414	20
415	20
416	20
417	20
418	20
419	20
420	20
421	20
422	20
423	20
424	20
425	20
426	20
427	20
428	25
429	25
430	25
431	25
432	25
433	25
435	25
437	15
438	15
439	15
440	20
441	15
442	15
443	15
444	25
445	15
446	15
447	15
448	15
449	20
