dwID	dwStartID	dwFinishID	szName	szRewardPath	szNamePath	nNameFrame	szFirstPagePath	szTaskTracePath	nTaskTraceFrame	szOpenPath	nOpenFrame	szRewardType	szOpenRewardPath	bHide	nStartQuestID	nFinishQuestID	nClassify	bPerfect	szReward	szMobileNamePath	szMobileOpenNamePath	buffList	szFront	nCampCanSee	nRelation	RewdItem
0																	1							7	0	
1	1	192	三山四海	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	23	ui\Image\Adventure\catalogue\sanshansihai.tga	ui\Image\UICommon\LuckyMeeting.UITex	20	ui\Image\UICommon\LuckyMeeting7.UITex	1		ui\Image\Adventure\reward\Open\三山四海_Open.tga				2	1		Resource\Adventure\AdventureName\三山四海.png	Resource\Adventure\OpenName\三山四海.png	28920,1	觅宝会声望达到敬重\n拥有[扣舷鼓][北谢囊][洞庭卷][弦歌瓶]其二\n江湖资历达到2万点			8_13908;8_13797;5_23841;8_13798;
2	391	474	三尺青锋	ui\Image\Adventure\reward\chengwu\	ui\Image\UICommon\LuckyMeeting2.UITex	22	ui\Image\Adventure\catalogue\sanchiqingfeng.tga	ui\Image\UICommon\LuckyMeeting.UITex	13	ui\Image\UICommon\LuckyMeeting7.UITex	2	school	ui\Image\Adventure\reward\Open\weapon\				2	1		Resource\Adventure\AdventureName\三尺青锋.png	Resource\Adventure\OpenName\三尺青锋.png	28921,1	扬州、洛阳、长安主城声望达到尊敬\n拥有200块[浮屠陨铁]\n拥有150块[乌金陨铁]\n拥有150块[天外陨铁]\n加入门派			6_10916;6_10917;6_10918;6_10919;6_10920;6_10921;6_10922;6_10923;6_10924;6_10925;6_10926;6_10927;6_10928;6_10929;6_10930;6_10931;6_10932;6_10933;6_10934;6_10935;6_10936;6_11950;6_11951;6_14394;6_20191;6_23298;6_26349;6_45616;6_45617;6_45618;6_45619;6_45620;8_13796;8_25820;
3	151	198	阴阳两界	ui\Image\Adventure\reward\阴阳两界.tga	ui\Image\UICommon\LuckyMeeting2.UITex	26	ui\Image\Adventure\catalogue\yinyangliangjie.tga	ui\Image\UICommon\LuckyMeeting.UITex	14	ui\Image\UICommon\LuckyMeeting7.UITex	6		ui\Image\Adventure\reward\Open\阴阳两界_Open.tga				2	1		Resource\Adventure\AdventureName\阴阳两界.png	Resource\Adventure\OpenName\阴阳两界.png	28922,1	完成[日行一善]成就或枫华谷战乱[未完结]任务\n江湖资历达到3万点			8_13868;5_23673;8_13791;
4	81	114	黑白路	ui\Image\Adventure\reward\zhenying\camp_2.tga	ui\Image\UICommon\LuckyMeeting2.UITex	21	ui\Image\Adventure\catalogue\heibailu.tga	ui\Image\UICommon\LuckyMeeting.UITex	11	ui\Image\UICommon\LuckyMeeting7.UITex	24		ui\Image\Adventure\reward\Open\camp\camp_2_Open.tga				2			Resource\Adventure\AdventureName\黑白路.png	Resource\Adventure\OpenName\黑白路.png	19077,1	加入阵营\n完成三个对立阵营领袖的[对决！]成就\n当前阵营声望达到尊敬\n完成[傲意战魂！第十四阶]成就\n完成所有战场[五十胜！]成就	5	5	8_13800;
5	95	112	黑白路	ui\Image\Adventure\reward\zhenying\camp_1.tga	ui\Image\UICommon\LuckyMeeting2.UITex	21	ui\Image\Adventure\catalogue\heibailu.tga	ui\Image\UICommon\LuckyMeeting.UITex	11	ui\Image\UICommon\LuckyMeeting7.UITex	24		ui\Image\Adventure\reward\Open\camp\camp_1_Open.tga	1			2			Resource\Adventure\AdventureName\黑白路.png	Resource\Adventure\OpenName\黑白路.png	19077,1	加入阵营\n完成三个对立阵营领袖的[对决！]成就\n当前阵营声望达到尊敬\n完成[傲意战魂！第十四阶]成就\n完成所有战场[五十胜！]成就	3	4	8_13799;
6	231	300	少年行	ui\Image\Adventure\reward\少年行.tga	ui\Image\UICommon\LuckyMeeting2.UITex	24	ui\Image\Adventure\catalogue\shaonianxing.tga	ui\Image\UICommon\LuckyMeeting.UITex	21	ui\Image\UICommon\LuckyMeeting7.UITex	12		ui\Image\Adventure\reward\Open\少年行_Open.tga				2			Resource\Adventure\AdventureName\少年行.png	Resource\Adventure\OpenName\少年行.png	18968,1	江湖资历达到2万\n完成[善为人师]成就\n完成[耐心之师]成就\n完成[青出于蓝]成就\n完成[言传身教]成就\n完成[亲传师父]成就\n完成[贤师]成就\n完成[乐善好施]成就\n完成[铁杵成针]成就\n完成[璞玉浑金]成就			8_13903;8_13907;
7	301	360	茶馆奇缘	ui\Image\Adventure\reward\茶馆奇缘.tga	ui\Image\UICommon\LuckyMeeting2.UITex	20	ui\Image\Adventure\catalogue\chaguanqiyuan.tga	ui\Image\UICommon\LuckyMeeting.UITex	19	ui\Image\UICommon\LuckyMeeting7.UITex	23		ui\Image\Adventure\reward\Open\茶馆奇缘_Open.tga				2			Resource\Adventure\AdventureName\茶馆奇缘.png	Resource\Adventure\OpenName\茶馆奇遇.png	28923,1	江湖资历达到2万\n当前金币达到20砖\n完成[大公忘私！千]成就\n完成[一心一意]成就			8_13902;
8	367	494	生死判	ui\Image\Adventure\reward\生死判.tga	ui\Image\UICommon\LuckyMeeting2.UITex	25	ui\Image\Adventure\catalogue\shengsipan.tga	ui\Image\UICommon\LuckyMeeting.UITex	22	ui\Image\UICommon\LuckyMeeting7.UITex	13		ui\Image\Adventure\reward\Open\生死判_Open.tga				2			Resource\Adventure\AdventureName\生死判.png	Resource\Adventure\OpenName\生死判.png	19078,1	加入阵营\n当前阵营声望达到尊敬\n江湖资历达到2万\n完成[傲意战魂！第七阶]成就	5	9	8_13904;5_23876;
9	377	498	生死判	ui\Image\Adventure\reward\生死判.tga	ui\Image\UICommon\LuckyMeeting2.UITex	25	ui\Image\Adventure\catalogue\shengsipan.tga	ui\Image\UICommon\LuckyMeeting.UITex	22	ui\Image\UICommon\LuckyMeeting7.UITex	13		ui\Image\Adventure\reward\Open\生死判_Open.tga	1			2			Resource\Adventure\AdventureName\生死判.png	Resource\Adventure\OpenName\生死判.png	19078,1	加入阵营\n当前阵营声望达到尊敬\n江湖资历达到2万\n完成[傲意战魂！第七阶]成就	2	8	8_13904;5_23876;
